index,name,address,city,zip,phone,email,full_address,website,OT,ST,PT,DT,EI,ABA,CBT,Pharmacotherapy,DialecticalBehavioralTherapy,SocialSkillsGroup,InHomeTherapy,OnSiteTherapy,School,Grades,ISBE,Tutoring,Ages,Insurance,Diagnosis,Arts,Dentist,AdultTransitional,Employment,AdultLiving,Business,Sibling,Other,lng,lat,coords
0,The Autism Treatment Program (Advocate Illinois Masonic Medical Center),3040 N Wilton Ave. 2nd Floor,Chicago,60657,773.296.7682,,"3040 N Wilton Ave. 2nd Floor Chicago, IL 60657",http://www.advocatehealth.com/immc-theautismtreatmentprogram,y,y,y,y,y,y,n,y,n,y,y,y,n,,,n,3-7years,y,y,n,n,n,N,N,n,,"Social skills, Sibling /family support groups",-87.6530528,41.9375274,"(41.9375274, -87.6530528)"
1,Eyas Landing,1409 W Carroll Ave.,Chicago,60607,312.733.0883,info@eyaslanding.com,"1409 W Carroll Ave. Chicago, IL 60607",http://eyaslanding.com/,Y,Y,Y,Y,Y,Y,n,n,n,n,Y,Y,Y,1-3,N,N,,Y,n,n,n,n,N,N,n,,"DIR floortime, Nutritional/Feeding Therapy, Sensory Integration, Therapeutic Listening, Yoga for the Special Child, GAPS Consultations, summer camps, connected with Bluebird Day School (Preschool-Kindergarten)",-87.66297089999999,41.8872366,"(41.8872366, -87.66297089999999)"
2,Blue Bird Day School,310 N Loomis St.,Chicago,60607,312.243.8487,info@blubirddayschool.com,"310 N Loomis St. Chicago, IL 60607",https://bluebirddayschool.com/,Y,Y,Y,Y,Y,Y,n,n,n,n,N,Y,Y,pre-k & K,N,n,3-6,Y,n,n,n,n,N,N,n,,,-87.6626594,41.8870083,"(41.8870083, -87.6626594)"
3,Blue Bird Day School,1921 W. Irving Park Rd.,Chicago,60613,773.687.9442,info@blubirddayschool.com,"1921 W. Irving Park Rd. Chicago, IL 60613",https://bluebirddayschool.com/,Y,Y,Y,Y,Y,Y,n,n,n,n,N,Y,Y,pre-k & K,N,n,3-6,Y,n,n,n,n,N,N,n,,,-87.6771059,41.95399099999999,"(41.95399099999999, -87.6771059)"
4,North Shore Pediatric Therapy,950 Lee St.,Des Plaines,60016,877.486.4140,info@nspt4kids.com,"950 Lee St. Des Plaines, IL 60016",http://nspt4kids.com/,Y,Y,N,N,Y,Y,n,n,n,n,Y,Y,N,,,Y,infant - 18 years,Y,y,n,n,n,N,N,n,,"Social Work, School Advocacy,",-87.89248169999999,42.0362459,"(42.0362459, -87.89248169999999)"
5,North Shore Pediatric Therapy,1308 Waukegan Rd. Ste. 103,Glenview,60025,877.486.4140,info@nspt4kids.com,"1308 Waukegan Rd. Ste. 103 Glenview, IL 60025",http://nspt4kids.com/,Y,Y,Y,N,Y,Y,n,n,n,n,Y,Y,N,,,Y,infant - 18 years,Y,y,n,n,n,N,N,n,,"Social Work, School Advocacy",-87.7988245,42.0782356,"(42.0782356, -87.7988245)"
6,North Shore Pediatric Therapy,1442 Old Skokie Road,Highland Park,60035,877.486.4140,info@nspt4kids.com,"1442 Old Skokie Road Highland Park, IL 60035",http://nspt4kids.com/,Y,Y,Y,N,Y,Y,n,n,n,n,Y,Y,N,,,Y,infant - 18 years,Y,y,n,n,n,N,N,n,,"Neuropsychology Intakes, Social Work, School Advocacy",-87.8194729,42.1786265,"(42.1786265, -87.8194729)"
7,North Shore Pediatric Therapy,917 Sherwood Dr. Ste. #201,Lake Bluff,60044,877.486.4140,info@nspt4kids.com,"917 Sherwood Dr. Ste. #201 Lake Bluff, IL 60044",http://nspt4kids.com/,Y,Y,Y,N,Y,Y,n,n,n,n,Y,Y,N,,,N,infant - 18 years,Y,y,n,n,n,N,N,n,,"Neuropsychology Intakes, Social Work, School Advocacy",-91.1339193,38.8030351,"(38.8030351, -91.1339193)"
8,North Shore Pediatric Therapy,4433 W. Touhy Ave. Ste. 335,Lincolnwood,60712,877.486.4140,info@nspt4kids.com,"4433 W. Touhy Ave. Ste. 335 Lincolnwood, IL 60712",http://nspt4kids.com/,Y,Y,Y,N,Y,Y,n,n,n,n,Y,Y,N,,,N,infant - 18 years,Y,y,n,n,n,N,N,n,,"Neuropsychology Intakes, Social Work, School Advocacy",-87.7396533,42.0113839,"(42.0113839, -87.7396533)"
9,North Shore Pediatric Therapy,2350 Ridge Ave.,Evanston,60201,877.486.4140,info@nspt4kids.com,"2350 Ridge Ave. Evanston, IL 60201",http://nspt4kids.com/,Y,Y,Y,N,Y,Y,n,n,n,n,Y,Y,N,,,N,infant - 18 years,Y,y,n,n,n,N,N,n,,School Advocacy,-87.6851117,42.0610132,"(42.0610132, -87.6851117)"
10,North Shore Pediatric Therapy,1657 W. Cortland St.,Chicago,60622,877.486.4140,info@nspt4kids.com,"1657 W. Cortland St. Chicago, IL 60622",http://nspt4kids.com/,Y,Y,Y,N,Y,Y,n,n,n,n,Y,Y,N,,,N,infant - 18 years,Y,y,n,n,n,N,N,n,,"Social Work, School Advocacy",-87.67005680000001,41.9158544,"(41.9158544, -87.67005680000001)"
11,Westside Children's Therapy,21000 Frankfort Square Rd.,Frankfort,60423,815.469.1500,admin@westsidechildrenstherapy.com,"21000 Frankfort Square Rd. Frankfort, IL 60423",http://westsidechildrenstherapy.com/,Y,Y,Y,N,N,Y,N,N,N,Y,Y,Y,N,,,N,,Y,N,N,N,N,N,N,N,,"Neurofeedback (EEG), Feeding Therapy, ABA Centered Social Groups",-87.8039146,41.5073024,"(41.5073024, -87.8039146)"
12,Westside Children's Therapy,750 Essington Rd.,Joliet,60435,815.729.2160,admin@westsidechildrenstherapy.com,"750 Essington Rd. Joliet, IL 60435",http://westsidechildrenstherapy.com/,Y,Y,Y,N,N,Y,N,N,N,Y,Y,Y,N,,,N,,Y,N,N,N,N,N,N,N,,"Neurofeedback (EEG), Feeding Therapy, ABA Centered Social Groups",-88.15972029999999,41.5360133,"(41.5360133, -88.15972029999999)"
13,Westside Children's Therapy,1725 S. Naperville Rd. #110,Wheaton,60187,630.509.4911,admin@westsidechildrenstherapy.com,"1725 S. Naperville Rd. #110 Wheaton, IL 60187",http://westsidechildrenstherapy.com/,Y,Y,Y,N,N,Y,N,N,N,Y,Y,Y,N,,,N,,Y,N,N,N,N,N,N,N,,"Neurofeedback (EEG), Feeding Therapy, ABA Centered Social Groups",-88.1012186,41.8399362,"(41.8399362, -88.1012186)"
14,"Rosenblatt, Alan MD",4711 Golf Road Suite 800,Skokie,60076,847-677-1818,,"4711 Golf Road Suite 800 Skokie, IL 60076",http://www.doctorrosenblatt.com/,N,N,N,N,N,N,n,y,n,n,,,N,,,N,0-18 years,N,y,n,n,n,N,N,n,,,-87.74383379999999,42.0540798,"(42.0540798, -87.74383379999999)"
15,Have Dreams,2020 Dempster St.,Evanston,60202,847.905.0702,info@havedreams.org,"2020 Dempster St. Evanston, IL 60202",http://havedreams.org/,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,,,N,ALL AGES,N,N,Y,N,Y,Y,N,N,,,-87.70241399999999,42.0409687,"(42.0409687, -87.70241399999999)"
16,Have Dreams,515 Busse Highway Ste. 150,Park Ridge,60068,847.685.0250,info@havedreams.org,"515 Busse Highway Ste. 150 Park Ridge, IL 60068",http://havedreams.org/,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,,,N,ALL AGES,N,N,Y,N,Y,Y,N,N,,,-87.8424769,42.0173393,"(42.0173393, -87.8424769)"
17,Center For Autism and Related Disorders (CARD),212 S. Marion St Suite 11,Oak Park,60302,855-345-2273,m.remoquillo@centerforautism.com,"212 S. Marion St Suite 11 Oak Park, IL 60302",http://www.centerforautism.com/,N,N,N,N,N,Y,N,N,N,N,Y,Y,N,,,N,2-21,Y,y,n,n,n,N,N,n,,,-87.802297,41.8851892,"(41.8851892, -87.802297)"
18,Center For Autism and Related Disorders (CARD),"603 Diehl Road, Suite 123",Naperville,60563,855-345-2273,m.mattucci@centerforautism.com,"603 Diehl Road, Suite 123 Naperville, IL 60563",http://www.centerforautism.com/,N,N,N,N,N,Y,N,N,N,N,Y,Y,N,,,N,2-21,Y,y,n,n,n,N,N,n,,,-88.1384348,41.80404009999999,"(41.80404009999999, -88.1384348)"
19,Center for Autism & Related Disorders,"1801 W. Warner Ave., Ste. 101",Chicago,60613,708.358.3000,m.remoquillo@centerforautism.com,"1801 W. Warner Ave., Ste. 101 Chicago, IL 60613",http://www.centerforautism.com/,N,N,N,N,N,Y,N,N,N,N,Y,Y,N,,,N,2-21,Y,y,n,n,n,N,N,n,,,-87.6746793,41.9566908,"(41.9566908, -87.6746793)"
20,Lurie Children's Hospital,225 E Chicago Ave,Chicago,60611,1800-kids-doc,,"225 E Chicago Ave Chicago, IL 60611",http://www.luriechildrens.org,N,N,N,N,N,N,n,y,n,y,N,Y,N,,,N,0-18,Y,y,n,n,n,N,N,n,,,-87.6218322,41.8962231,"(41.8962231, -87.6218322)"
21,Chicago Comer Children's Hospital,5721 S. Maryland Avenue,Chicago,60637,1-888-824-0200,,"5721 S. Maryland Avenue Chicago, IL 60637",http://www.uchicagokidshospital.org/,N,N,N,N,N,N,n,y,n,n,N,Y,N,,,N,0-18,Y,Y,n,n,n,N,N,n,,,-87.6045875,41.7901841,"(41.7901841, -87.6045875)"
22,Erikson Institute,451 North LaSalle Street,Chicago,60654,(312) 893-7119,ccf@erikson.edu,"451 North LaSalle Street Chicago, IL 60654",http://www.erikson.edu/,N,N,N,N,N,N,n,n,n,n,N,Y,n,,,N,0-8,y,y,n,n,n,N,N,n,,,-87.63208759999999,41.8906341,"(41.8906341, -87.63208759999999)"
